Point 0: x = -4.37114e-008, y = 0, z = 1
Vertex 880: x = -0.278115, y = 0.855951, z = 0
Vertex 881: x = -0.529007, y = 0.728115, z = 0
Vertex 882: x = -0.529007, y = 0.728115, z = 0
Vertex 883: x = -0.587785, y = 0.809017, z = 0
Vertex 884: x = -0.309017, y = 0.951056, z = 0
Vertex 885: x = -0.278115, y = 0.855951, z = 0
Vertex 886: x = -0.293893, y = 0.904508, z = -0.309017
Vertex 887: x = -0.559017, y = 0.769421, z = -0.309017
Vertex 888: x = -0.559017, y = 0.769421, z = -0.309017
Vertex 889: x = -0.529007, y = 0.728115, z = 0
Vertex 890: x = -0.278115, y = 0.855951, z = 0
Vertex 891: x = -0.293893, y = 0.904508, z = -0.309017
Vertex 892: x = -0.264503, y = 0.814057, z = -0.278115
Vertex 893: x = -0.503115, y = 0.692479, z = -0.278115
Vertex 894: x = -0.503115, y = 0.692479, z = -0.278115
Vertex 895: x = -0.559017, y = 0.769421, z = -0.309017
Vertex 896: x = -0.293893, y = 0.904508, z = -0.309017
Vertex 897: x = -0.264503, y = 0.814057, z = -0.278115
Vertex 898: x = -0.25, y = 0.769421, z = -0.587785
Vertex 899: x = -0.475528, y = 0.654508, z = -0.587785
Vertex 900: x = -0.475528, y = 0.654508, z = -0.587785
Vertex 901: x = -0.503115, y = 0.692479, z = -0.278115
Vertex 902: x = -0.264503, y = 0.814057, z = -0.278115
Vertex 903: x = -0.25, y = 0.769421, z = -0.587785
Vertex 904: x = -0.225, y = 0.692479, z = -0.529006
Vertex 905: x = -0.427975, y = 0.589057, z = -0.529006
Vertex 906: x = -0.427975, y = 0.589057, z = -0.529006
Vertex 907: x = -0.475528, y = 0.654508, z = -0.587785
Vertex 908: x = -0.25, y = 0.769421, z = -0.587785
Vertex 909: x = -0.225, y = 0.692479, z = -0.529006
Vertex 910: x = -0.181636, y = 0.559017, z = -0.809017
Vertex 911: x = -0.345491, y = 0.475528, z = -0.809017
Vertex 912: x = -0.345491, y = 0.475528, z = -0.809017
Vertex 913: x = -0.427975, y = 0.589057, z = -0.529006
Vertex 914: x = -0.225, y = 0.692479, z = -0.529006
Vertex 915: x = -0.181636, y = 0.559017, z = -0.809017
Vertex 916: x = -0.163472, y = 0.503115, z = -0.728115
Vertex 917: x = -0.310942, y = 0.427975, z = -0.728115
Vertex 918: x = -0.310942, y = 0.427975, z = -0.728115
Vertex 919: x = -0.345491, y = 0.475528, z = -0.809017
Vertex 920: x = -0.181636, y = 0.559017, z = -0.809017
Vertex 921: x = -0.163472, y = 0.503115, z = -0.728115
Vertex 922: x = -0.0954915, y = 0.293893, z = -0.951056
Vertex 923: x = -0.181636, y = 0.25, z = -0.951056
Vertex 924: x = -0.181636, y = 0.25, z = -0.951056
Vertex 925: x = -0.310942, y = 0.427975, z = -0.728115
Vertex 926: x = -0.163472, y = 0.503115, z = -0.728115
Vertex 927: x = -0.0954915, y = 0.293893, z = -0.951056
Vertex 928: x = -0.0859424, y = 0.264503, z = -0.855951
Vertex 929: x = -0.163472, y = 0.225, z = -0.855951
Vertex 930: x = -0.163472, y = 0.225, z = -0.855951
Vertex 931: x = -0.181636, y = 0.25, z = -0.951056
Vertex 932: x = -0.0954915, y = 0.293893, z = -0.951056
Vertex 933: x = -0.0859424, y = 0.264503, z = -0.855951
Vertex 934: x = 1.35076e-008, y = -4.1572e-008, z = -1
Vertex 935: x = 2.56929e-008, y = -3.53632e-008, z = -1
Vertex 936: x = 2.56929e-008, y = -3.53632e-008, z = -1
Vertex 937: x = -0.163472, y = 0.225, z = -0.855951
Vertex 938: x = -0.0859424, y = 0.264503, z = -0.855951
Vertex 939: x = 1.35076e-008, y = -4.1572e-008, z = -1
Vertex 940: x = 1.21568e-008, y = -3.74148e-008, z = -0.9
Vertex 941: x = 2.31236e-008, y = -3.18269e-008, z = -0.9
Vertex 942: x = 2.31236e-008, y = -3.18269e-008, z = -0.9
Vertex 943: x = 2.56929e-008, y = -3.53632e-008, z = -1
Vertex 944: x = 1.35076e-008, y = -4.1572e-008, z = -1
Vertex 945: x = 2.56929e-008, y = -3.53633e-008, z = 1
Vertex 946: x = 2.31236e-008, y = -3.18269e-008, z = 0.9
Vertex 947: x = 3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 948: x = 3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 949: x = 3.53633e-008, y = -2.56929e-008, z = 1
Vertex 950: x = 2.56929e-008, y = -3.53633e-008, z = 1
Vertex 951: x = 2.31236e-008, y = -3.18269e-008, z = 0.9
Vertex 952: x = -0.181636, y = 0.25, z = 0.951056
Vertex 953: x = -0.25, y = 0.181636, z = 0.951056
Vertex 954: x = -0.25, y = 0.181636, z = 0.951056
Vertex 955: x = 3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 956: x = 2.31236e-008, y = -3.18269e-008, z = 0.9
Vertex 957: x = -0.181636, y = 0.25, z = 0.951056
Vertex 958: x = -0.163472, y = 0.225, z = 0.855951
Vertex 959: x = -0.225, y = 0.163472, z = 0.855951
Vertex 960: x = -0.225, y = 0.163472, z = 0.855951
Vertex 961: x = -0.25, y = 0.181636, z = 0.951056
Vertex 962: x = -0.181636, y = 0.25, z = 0.951056
Vertex 963: x = -0.163472, y = 0.225, z = 0.855951
Vertex 964: x = -0.345491, y = 0.475528, z = 0.809017
Vertex 965: x = -0.475528, y = 0.345491, z = 0.809017
Vertex 966: x = -0.475528, y = 0.345491, z = 0.809017
Vertex 967: x = -0.225, y = 0.163472, z = 0.855951
Vertex 968: x = -0.163472, y = 0.225, z = 0.855951
Vertex 969: x = -0.345491, y = 0.475528, z = 0.809017
Vertex 970: x = -0.310942, y = 0.427975, z = 0.728115
Vertex 971: x = -0.427975, y = 0.310942, z = 0.728115
Vertex 972: x = -0.427975, y = 0.310942, z = 0.728115
Vertex 973: x = -0.475528, y = 0.345491, z = 0.809017
Vertex 974: x = -0.345491, y = 0.475528, z = 0.809017
Vertex 975: x = -0.310942, y = 0.427975, z = 0.728115
Vertex 976: x = -0.475528, y = 0.654508, z = 0.587785
Vertex 977: x = -0.654508, y = 0.475528, z = 0.587785
Vertex 978: x = -0.654508, y = 0.475528, z = 0.587785
Vertex 979: x = -0.427975, y = 0.310942, z = 0.728115
Vertex 980: x = -0.310942, y = 0.427975, z = 0.728115
Vertex 981: x = -0.475528, y = 0.654508, z = 0.587785
Vertex 982: x = -0.427975, y = 0.589057, z = 0.529007
Vertex 983: x = -0.589058, y = 0.427975, z = 0.529007
Vertex 984: x = -0.589058, y = 0.427975, z = 0.529007
Vertex 985: x = -0.654508, y = 0.475528, z = 0.587785
Vertex 986: x = -0.475528, y = 0.654508, z = 0.587785
Vertex 987: x = -0.427975, y = 0.589057, z = 0.529007
Vertex 988: x = -0.559017, y = 0.769421, z = 0.309017
Vertex 989: x = -0.769421, y = 0.559017, z = 0.309017
Vertex 990: x = -0.769421, y = 0.559017, z = 0.309017
Vertex 991: x = -0.589058, y = 0.427975, z = 0.529007
Vertex 992: x = -0.427975, y = 0.589057, z = 0.529007
Vertex 993: x = -0.559017, y = 0.769421, z = 0.309017
Vertex 994: x = -0.503115, y = 0.692479, z = 0.278115
Vertex 995: x = -0.692479, y = 0.503115, z = 0.278115
Vertex 996: x = -0.692479, y = 0.503115, z = 0.278115
Vertex 997: x = -0.769421, y = 0.559017, z = 0.309017
Vertex 998: x = -0.559017, y = 0.769421, z = 0.309017
Vertex 999: x = -0.503115, y = 0.692479, z = 0.278115
Vertex 1000: x = -0.587785, y = 0.809017, z = 0
Vertex 1001: x = -0.809017, y = 0.587785, z = 0
Vertex 1002: x = -0.809017, y = 0.587785, z = 0
Vertex 1003: x = -0.692479, y = 0.503115, z = 0.278115
Vertex 1004: x = -0.503115, y = 0.692479, z = 0.278115
Vertex 1005: x = -0.587785, y = 0.809017, z = 0
Vertex 1006: x = -0.529007, y = 0.728115, z = 0
Vertex 1007: x = -0.728115, y = 0.529007, z = 0
Vertex 1008: x = -0.728115, y = 0.529007, z = 0
Vertex 1009: x = -0.809017, y = 0.587785, z = 0
Vertex 1010: x = -0.587785, y = 0.809017, z = 0
Vertex 1011: x = -0.529007, y = 0.728115, z = 0
Vertex 1012: x = -0.559017, y = 0.769421, z = -0.309017
Vertex 1013: x = -0.769421, y = 0.559017, z = -0.309017
Vertex 1014: x = -0.769421, y = 0.559017, z = -0.309017
Vertex 1015: x = -0.728115, y = 0.529007, z = 0
Vertex 1016: x = -0.529007, y = 0.728115, z = 0
Vertex 1017: x = -0.559017, y = 0.769421, z = -0.309017
Vertex 1018: x = -0.503115, y = 0.692479, z = -0.278115
Vertex 1019: x = -0.692479, y = 0.503115, z = -0.278115
Vertex 1020: x = -0.692479, y = 0.503115, z = -0.278115
Vertex 1021: x = -0.769421, y = 0.559017, z = -0.309017
Vertex 1022: x = -0.559017, y = 0.769421, z = -0.309017
Vertex 1023: x = -0.503115, y = 0.692479, z = -0.278115
Vertex 1024: x = -0.475528, y = 0.654508, z = -0.587785
Vertex 1025: x = -0.654508, y = 0.475528, z = -0.587785
Vertex 1026: x = -0.654508, y = 0.475528, z = -0.587785
Vertex 1027: x = -0.692479, y = 0.503115, z = -0.278115
Vertex 1028: x = -0.503115, y = 0.692479, z = -0.278115
Vertex 1029: x = -0.475528, y = 0.654508, z = -0.587785
Vertex 1030: x = -0.427975, y = 0.589057, z = -0.529006
Vertex 1031: x = -0.589058, y = 0.427975, z = -0.529006
Vertex 1032: x = -0.589058, y = 0.427975, z = -0.529006
Vertex 1033: x = -0.654508, y = 0.475528, z = -0.587785
Vertex 1034: x = -0.475528, y = 0.654508, z = -0.587785
Vertex 1035: x = -0.427975, y = 0.589057, z = -0.529006
Vertex 1036: x = -0.345491, y = 0.475528, z = -0.809017
Vertex 1037: x = -0.475528, y = 0.345491, z = -0.809017
Vertex 1038: x = -0.475528, y = 0.345491, z = -0.809017
Vertex 1039: x = -0.589058, y = 0.427975, z = -0.529006
Vertex 1040: x = -0.427975, y = 0.589057, z = -0.529006
Vertex 1041: x = -0.345491, y = 0.475528, z = -0.809017
Vertex 1042: x = -0.310942, y = 0.427975, z = -0.728115
Vertex 1043: x = -0.427975, y = 0.310942, z = -0.728115
Vertex 1044: x = -0.427975, y = 0.310942, z = -0.728115
Vertex 1045: x = -0.475528, y = 0.345491, z = -0.809017
Vertex 1046: x = -0.345491, y = 0.475528, z = -0.809017
Vertex 1047: x = -0.310942, y = 0.427975, z = -0.728115
Vertex 1048: x = -0.181636, y = 0.25, z = -0.951056
Vertex 1049: x = -0.25, y = 0.181636, z = -0.951056
Vertex 1050: x = -0.25, y = 0.181636, z = -0.951056
Vertex 1051: x = -0.427975, y = 0.310942, z = -0.728115
Vertex 1052: x = -0.310942, y = 0.427975, z = -0.728115
Vertex 1053: x = -0.181636, y = 0.25, z = -0.951056
Vertex 1054: x = -0.163472, y = 0.225, z = -0.855951
Vertex 1055: x = -0.225, y = 0.163472, z = -0.855951
Vertex 1056: x = -0.225, y = 0.163472, z = -0.855951
Vertex 1057: x = -0.25, y = 0.181636, z = -0.951056
Vertex 1058: x = -0.181636, y = 0.25, z = -0.951056
Vertex 1059: x = -0.163472, y = 0.225, z = -0.855951
Vertex 1060: x = 2.56929e-008, y = -3.53632e-008, z = -1
Vertex 1061: x = 3.53633e-008, y = -2.56929e-008, z = -1
Vertex 1062: x = 3.53633e-008, y = -2.56929e-008, z = -1
Vertex 1063: x = -0.225, y = 0.163472, z = -0.855951
Vertex 1064: x = -0.163472, y = 0.225, z = -0.855951
Vertex 1065: x = 2.56929e-008, y = -3.53632e-008, z = -1
Vertex 1066: x = 2.31236e-008, y = -3.18269e-008, z = -0.9
Vertex 1067: x = 3.18269e-008, y = -2.31236e-008, z = -0.9
Vertex 1068: x = 3.18269e-008, y = -2.31236e-008, z = -0.9
Vertex 1069: x = 3.53633e-008, y = -2.56929e-008, z = -1
Vertex 1070: x = 2.56929e-008, y = -3.53632e-008, z = -1
Vertex 1071: x = 3.53633e-008, y = -2.56929e-008, z = 1
Vertex 1072: x = 3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 1073: x = 3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 1074: x = 3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 1075: x = 4.1572e-008, y = -1.35076e-008, z = 1
Vertex 1076: x = 3.53633e-008, y = -2.56929e-008, z = 1
Vertex 1077: x = 3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 1078: x = -0.25, y = 0.181636, z = 0.951056
Vertex 1079: x = -0.293893, y = 0.0954915, z = 0.951056
Vertex 1080: x = -0.293893, y = 0.0954915, z = 0.951056
Vertex 1081: x = 3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 1082: x = 3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 1083: x = -0.25, y = 0.181636, z = 0.951056
Vertex 1084: x = -0.225, y = 0.163472, z = 0.855951
Vertex 1085: x = -0.264503, y = 0.0859423, z = 0.855951
Vertex 1086: x = -0.264503, y = 0.0859423, z = 0.855951
Vertex 1087: x = -0.293893, y = 0.0954915, z = 0.951056
Vertex 1088: x = -0.25, y = 0.181636, z = 0.951056
Vertex 1089: x = -0.225, y = 0.163472, z = 0.855951
Vertex 1090: x = -0.475528, y = 0.345491, z = 0.809017
Vertex 1091: x = -0.559017, y = 0.181636, z = 0.809017
Vertex 1092: x = -0.559017, y = 0.181636, z = 0.809017
Vertex 1093: x = -0.264503, y = 0.0859423, z = 0.855951
Vertex 1094: x = -0.225, y = 0.163472, z = 0.855951
Vertex 1095: x = -0.475528, y = 0.345491, z = 0.809017
Vertex 1096: x = -0.427975, y = 0.310942, z = 0.728115
Vertex 1097: x = -0.503115, y = 0.163472, z = 0.728115
Vertex 1098: x = -0.503115, y = 0.163472, z = 0.728115
Vertex 1099: x = -0.559017, y = 0.181636, z = 0.809017
Vertex 1100: x = -0.475528, y = 0.345491, z = 0.809017
Vertex 1101: x = -0.427975, y = 0.310942, z = 0.728115
Vertex 1102: x = -0.654508, y = 0.475528, z = 0.587785
Vertex 1103: x = -0.769421, y = 0.25, z = 0.587785
Vertex 1104: x = -0.769421, y = 0.25, z = 0.587785
Vertex 1105: x = -0.503115, y = 0.163472, z = 0.728115
Vertex 1106: x = -0.427975, y = 0.310942, z = 0.728115
Vertex 1107: x = -0.654508, y = 0.475528, z = 0.587785
Vertex 1108: x = -0.589058, y = 0.427975, z = 0.529007
Vertex 1109: x = -0.692479, y = 0.225, z = 0.529007
Vertex 1110: x = -0.692479, y = 0.225, z = 0.529007
Vertex 1111: x = -0.769421, y = 0.25, z = 0.587785
Vertex 1112: x = -0.654508, y = 0.475528, z = 0.587785
Vertex 1113: x = -0.589058, y = 0.427975, z = 0.529007
Vertex 1114: x = -0.769421, y = 0.559017, z = 0.309017
Vertex 1115: x = -0.904508, y = 0.293893, z = 0.309017
Vertex 1116: x = -0.904508, y = 0.293893, z = 0.309017
Vertex 1117: x = -0.692479, y = 0.225, z = 0.529007
Vertex 1118: x = -0.589058, y = 0.427975, z = 0.529007
Vertex 1119: x = -0.769421, y = 0.559017, z = 0.309017
Vertex 1120: x = -0.692479, y = 0.503115, z = 0.278115
Vertex 1121: x = -0.814057, y = 0.264503, z = 0.278115
Vertex 1122: x = -0.814057, y = 0.264503, z = 0.278115
Vertex 1123: x = -0.904508, y = 0.293893, z = 0.309017
Vertex 1124: x = -0.769421, y = 0.559017, z = 0.309017
Vertex 1125: x = -0.692479, y = 0.503115, z = 0.278115
Vertex 1126: x = -0.809017, y = 0.587785, z = 0
Vertex 1127: x = -0.951056, y = 0.309017, z = 0
Vertex 1128: x = -0.951056, y = 0.309017, z = 0
Vertex 1129: x = -0.814057, y = 0.264503, z = 0.278115
Vertex 1130: x = -0.692479, y = 0.503115, z = 0.278115
Vertex 1131: x = -0.809017, y = 0.587785, z = 0
Vertex 1132: x = -0.728115, y = 0.529007, z = 0
Vertex 1133: x = -0.855951, y = 0.278115, z = 0
Vertex 1134: x = -0.855951, y = 0.278115, z = 0
Vertex 1135: x = -0.951056, y = 0.309017, z = 0
Vertex 1136: x = -0.809017, y = 0.587785, z = 0
Vertex 1137: x = -0.728115, y = 0.529007, z = 0
Vertex 1138: x = -0.769421, y = 0.559017, z = -0.309017
Vertex 1139: x = -0.904508, y = 0.293893, z = -0.309017
Vertex 1140: x = -0.904508, y = 0.293893, z = -0.309017
Vertex 1141: x = -0.855951, y = 0.278115, z = 0
Vertex 1142: x = -0.728115, y = 0.529007, z = 0
Vertex 1143: x = -0.769421, y = 0.559017, z = -0.309017
Vertex 1144: x = -0.692479, y = 0.503115, z = -0.278115
Vertex 1145: x = -0.814057, y = 0.264503, z = -0.278115
Vertex 1146: x = -0.814057, y = 0.264503, z = -0.278115
Vertex 1147: x = -0.904508, y = 0.293893, z = -0.309017
Vertex 1148: x = -0.769421, y = 0.559017, z = -0.309017
Vertex 1149: x = -0.692479, y = 0.503115, z = -0.278115
Vertex 1150: x = -0.654508, y = 0.475528, z = -0.587785
Vertex 1151: x = -0.769421, y = 0.25, z = -0.587785
Vertex 1152: x = -0.769421, y = 0.25, z = -0.587785
Vertex 1153: x = -0.814057, y = 0.264503, z = -0.278115
Vertex 1154: x = -0.692479, y = 0.503115, z = -0.278115
Vertex 1155: x = -0.654508, y = 0.475528, z = -0.587785
Vertex 1156: x = -0.589058, y = 0.427975, z = -0.529006
Vertex 1157: x = -0.692479, y = 0.225, z = -0.529006
Vertex 1158: x = -0.692479, y = 0.225, z = -0.529006
Vertex 1159: x = -0.769421, y = 0.25, z = -0.587785
Vertex 1160: x = -0.654508, y = 0.475528, z = -0.587785
Vertex 1161: x = -0.589058, y = 0.427975, z = -0.529006
Vertex 1162: x = -0.475528, y = 0.345491, z = -0.809017
Vertex 1163: x = -0.559017, y = 0.181636, z = -0.809017
Vertex 1164: x = -0.559017, y = 0.181636, z = -0.809017
Vertex 1165: x = -0.692479, y = 0.225, z = -0.529006
Vertex 1166: x = -0.589058, y = 0.427975, z = -0.529006
Vertex 1167: x = -0.475528, y = 0.345491, z = -0.809017
Vertex 1168: x = -0.427975, y = 0.310942, z = -0.728115
Vertex 1169: x = -0.503115, y = 0.163472, z = -0.728115
Vertex 1170: x = -0.503115, y = 0.163472, z = -0.728115
Vertex 1171: x = -0.559017, y = 0.181636, z = -0.809017
Vertex 1172: x = -0.475528, y = 0.345491, z = -0.809017
Vertex 1173: x = -0.427975, y = 0.310942, z = -0.728115
Vertex 1174: x = -0.25, y = 0.181636, z = -0.951056
Vertex 1175: x = -0.293893, y = 0.0954915, z = -0.951056
Vertex 1176: x = -0.293893, y = 0.0954915, z = -0.951056
Vertex 1177: x = -0.503115, y = 0.163472, z = -0.728115
Vertex 1178: x = -0.427975, y = 0.310942, z = -0.728115
Vertex 1179: x = -0.25, y = 0.181636, z = -0.951056
Vertex 1180: x = -0.225, y = 0.163472, z = -0.855951
Vertex 1181: x = -0.264503, y = 0.0859424, z = -0.855951
Vertex 1182: x = -0.264503, y = 0.0859424, z = -0.855951
Vertex 1183: x = -0.293893, y = 0.0954915, z = -0.951056
Vertex 1184: x = -0.25, y = 0.181636, z = -0.951056
Vertex 1185: x = -0.225, y = 0.163472, z = -0.855951
Vertex 1186: x = 3.53633e-008, y = -2.56929e-008, z = -1
Vertex 1187: x = 4.1572e-008, y = -1.35076e-008, z = -1
Vertex 1188: x = 4.1572e-008, y = -1.35076e-008, z = -1
Vertex 1189: x = -0.264503, y = 0.0859424, z = -0.855951
Vertex 1190: x = -0.225, y = 0.163472, z = -0.855951
Vertex 1191: x = 3.53633e-008, y = -2.56929e-008, z = -1
Vertex 1192: x = 3.18269e-008, y = -2.31236e-008, z = -0.9
Vertex 1193: x = 3.74148e-008, y = -1.21568e-008, z = -0.9
Vertex 1194: x = 3.74148e-008, y = -1.21568e-008, z = -0.9
Vertex 1195: x = 4.1572e-008, y = -1.35076e-008, z = -1
Vertex 1196: x = 3.53633e-008, y = -2.56929e-008, z = -1
Vertex 1197: x = 4.1572e-008, y = -1.35076e-008, z = 1
Vertex 1198: x = 3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 1199: x = 3.93402e-008, y = 3.43923e-015, z = 0.9
Vertex 1200: x = 3.93402e-008, y = 3.43923e-015, z = 0.9
Vertex 1201: x = 4.37114e-008, y = 3.82137e-015, z = 1
Vertex 1202: x = 4.1572e-008, y = -1.35076e-008, z = 1
Vertex 1203: x = 3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 1204: x = -0.293893, y = 0.0954915, z = 0.951056
Vertex 1205: x = -0.309017, y = -2.70151e-008, z = 0.951056
Vertex 1206: x = -0.309017, y = -2.70151e-008, z = 0.951056
Vertex 1207: x = 3.93402e-008, y = 3.43923e-015, z = 0.9
Vertex 1208: x = 3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 1209: x = -0.293893, y = 0.0954915, z = 0.951056
Vertex 1210: x = -0.264503, y = 0.0859423, z = 0.855951
Vertex 1211: x = -0.278115, y = -2.43136e-008, z = 0.855951
Vertex 1212: x = -0.278115, y = -2.43136e-008, z = 0.855951
Vertex 1213: x = -0.309017, y = -2.70151e-008, z = 0.951056
Vertex 1214: x = -0.293893, y = 0.0954915, z = 0.951056
Vertex 1215: x = -0.264503, y = 0.0859423, z = 0.855951
Vertex 1216: x = -0.559017, y = 0.181636, z = 0.809017
Vertex 1217: x = -0.587785, y = -5.13858e-008, z = 0.809017
Vertex 1218: x = -0.587785, y = -5.13858e-008, z = 0.809017
Vertex 1219: x = -0.278115, y = -2.43136e-008, z = 0.855951
Vertex 1220: x = -0.264503, y = 0.0859423, z = 0.855951
Vertex 1221: x = -0.559017, y = 0.181636, z = 0.809017
Vertex 1222: x = -0.503115, y = 0.163472, z = 0.728115
Vertex 1223: x = -0.529006, y = -4.62472e-008, z = 0.728115
Vertex 1224: x = -0.529006, y = -4.62472e-008, z = 0.728115
Vertex 1225: x = -0.587785, y = -5.13858e-008, z = 0.809017
Vertex 1226: x = -0.559017, y = 0.181636, z = 0.809017
Vertex 1227: x = -0.503115, y = 0.163472, z = 0.728115
Vertex 1228: x = -0.769421, y = 0.25, z = 0.587785
Vertex 1229: x = -0.809017, y = -7.07265e-008, z = 0.587785
Vertex 1230: x = -0.809017, y = -7.07265e-008, z = 0.587785
Vertex 1231: x = -0.529006, y = -4.62472e-008, z = 0.728115
Vertex 1232: x = -0.503115, y = 0.163472, z = 0.728115
Vertex 1233: x = -0.769421, y = 0.25, z = 0.587785
Vertex 1234: x = -0.692479, y = 0.225, z = 0.529007
Vertex 1235: x = -0.728115, y = -6.36538e-008, z = 0.529007
Vertex 1236: x = -0.728115, y = -6.36538e-008, z = 0.529007
Vertex 1237: x = -0.809017, y = -7.07265e-008, z = 0.587785
Vertex 1238: x = -0.769421, y = 0.25, z = 0.587785
Vertex 1239: x = -0.692479, y = 0.225, z = 0.529007
Vertex 1240: x = -0.904508, y = 0.293893, z = 0.309017
Vertex 1241: x = -0.951056, y = -8.3144e-008, z = 0.309017
Vertex 1242: x = -0.951056, y = -8.3144e-008, z = 0.309017
Vertex 1243: x = -0.728115, y = -6.36538e-008, z = 0.529007
Vertex 1244: x = -0.692479, y = 0.225, z = 0.529007
Vertex 1245: x = -0.904508, y = 0.293893, z = 0.309017
Vertex 1246: x = -0.814057, y = 0.264503, z = 0.278115
Vertex 1247: x = -0.855951, y = -7.48296e-008, z = 0.278115
Vertex 1248: x = -0.855951, y = -7.48296e-008, z = 0.278115
Vertex 1249: x = -0.951056, y = -8.3144e-008, z = 0.309017
Vertex 1250: x = -0.904508, y = 0.293893, z = 0.309017
Vertex 1251: x = -0.814057, y = 0.264503, z = 0.278115
Vertex 1252: x = -0.951056, y = 0.309017, z = 0
Vertex 1253: x = -1, y = -8.74228e-008, z = 0
Vertex 1254: x = -1, y = -8.74228e-008, z = 0
Vertex 1255: x = -0.855951, y = -7.48296e-008, z = 0.278115
Vertex 1256: x = -0.814057, y = 0.264503, z = 0.278115
Vertex 1257: x = -0.951056, y = 0.309017, z = 0
Vertex 1258: x = -0.855951, y = 0.278115, z = 0
Vertex 1259: x = -0.9, y = -7.86805e-008, z = 0
Vertex 1260: x = -0.9, y = -7.86805e-008, z = 0
Vertex 1261: x = -1, y = -8.74228e-008, z = 0
Vertex 1262: x = -0.951056, y = 0.309017, z = 0
Vertex 1263: x = -0.855951, y = 0.278115, z = 0
Vertex 1264: x = -0.904508, y = 0.293893, z = -0.309017
Vertex 1265: x = -0.951056, y = -8.3144e-008, z = -0.309017
Vertex 1266: x = -0.951056, y = -8.3144e-008, z = -0.309017
Vertex 1267: x = -0.9, y = -7.86805e-008, z = 0
Vertex 1268: x = -0.855951, y = 0.278115, z = 0
Vertex 1269: x = -0.904508, y = 0.293893, z = -0.309017
Vertex 1270: x = -0.814057, y = 0.264503, z = -0.278115
Vertex 1271: x = -0.855951, y = -7.48296e-008, z = -0.278115
Vertex 1272: x = -0.855951, y = -7.48296e-008, z = -0.278115
Vertex 1273: x = -0.951056, y = -8.3144e-008, z = -0.309017
Vertex 1274: x = -0.904508, y = 0.293893, z = -0.309017
Vertex 1275: x = -0.814057, y = 0.264503, z = -0.278115
Vertex 1276: x = -0.769421, y = 0.25, z = -0.587785
Vertex 1277: x = -0.809017, y = -7.07265e-008, z = -0.587785
Vertex 1278: x = -0.809017, y = -7.07265e-008, z = -0.587785
Vertex 1279: x = -0.855951, y = -7.48296e-008, z = -0.278115
Vertex 1280: x = -0.814057, y = 0.264503, z = -0.278115
Vertex 1281: x = -0.769421, y = 0.25, z = -0.587785
Vertex 1282: x = -0.692479, y = 0.225, z = -0.529006
Vertex 1283: x = -0.728115, y = -6.36538e-008, z = -0.529006
Vertex 1284: x = -0.728115, y = -6.36538e-008, z = -0.529006
Vertex 1285: x = -0.809017, y = -7.07265e-008, z = -0.587785
Vertex 1286: x = -0.769421, y = 0.25, z = -0.587785
Vertex 1287: x = -0.692479, y = 0.225, z = -0.529006
Vertex 1288: x = -0.559017, y = 0.181636, z = -0.809017
Vertex 1289: x = -0.587785, y = -5.13858e-008, z = -0.809017
Vertex 1290: x = -0.587785, y = -5.13858e-008, z = -0.809017
Vertex 1291: x = -0.728115, y = -6.36538e-008, z = -0.529006
Vertex 1292: x = -0.692479, y = 0.225, z = -0.529006
Vertex 1293: x = -0.559017, y = 0.181636, z = -0.809017
Vertex 1294: x = -0.503115, y = 0.163472, z = -0.728115
Vertex 1295: x = -0.529007, y = -4.62472e-008, z = -0.728115
Vertex 1296: x = -0.529007, y = -4.62472e-008, z = -0.728115
Vertex 1297: x = -0.587785, y = -5.13858e-008, z = -0.809017
Vertex 1298: x = -0.559017, y = 0.181636, z = -0.809017
Vertex 1299: x = -0.503115, y = 0.163472, z = -0.728115
Vertex 1300: x = -0.293893, y = 0.0954915, z = -0.951056
Vertex 1301: x = -0.309017, y = -2.70151e-008, z = -0.951056
Vertex 1302: x = -0.309017, y = -2.70151e-008, z = -0.951056
Vertex 1303: x = -0.529007, y = -4.62472e-008, z = -0.728115
Vertex 1304: x = -0.503115, y = 0.163472, z = -0.728115
Vertex 1305: x = -0.293893, y = 0.0954915, z = -0.951056
Vertex 1306: x = -0.264503, y = 0.0859424, z = -0.855951
Vertex 1307: x = -0.278115, y = -2.43136e-008, z = -0.855951
Vertex 1308: x = -0.278115, y = -2.43136e-008, z = -0.855951
Vertex 1309: x = -0.309017, y = -2.70151e-008, z = -0.951056
Vertex 1310: x = -0.293893, y = 0.0954915, z = -0.951056
Vertex 1311: x = -0.264503, y = 0.0859424, z = -0.855951
Vertex 1312: x = 4.1572e-008, y = -1.35076e-008, z = -1
Vertex 1313: x = 4.37114e-008, y = 3.82137e-015, z = -1
